Date,HomeTeam,AwayTeam,HomeGoals,AwayGoals,FTR,Over2.5,HomeOdd,DrawOdd,AwayOdd,Over2.5Odd,Under2.5Odd,HomeTeamTotalGoals,AwayTeamTotalGoals,AvgGoalsHomeTeam,AvgGoalsAwayTeam,TotalAttemptsHomeTeam,TotalAttemptsAwayTeam,KicksInsideAreaHomeTeam,KicksInsideAreaAwayTeam,KicksOutsideAreaHomeTeam,KicksOutsideAreaAwayTeam,HeadersHomeTeam,HeadersAwayTeam,StealsHomeTeam,StealsAwayTeam,FoulsHomeTeam,FoulsAwayTeam,CornersHomeTeam,CornersAwayTeam,ErrorsHomeTeam,ErrorsAwayTeam
03/12/2016,Veria,Panetolikos,1,1,D,FALSE,"3,75","3,00","2,15","2,46","1,49",4,13,"0,4444444444","1,444444444",,,,,,,,,,,,,,,,
04/12/2016,AEL,Atromitos,1,2,A,TRUE,"1,13","7,5","16,5","2,24","1,64",9,10,1,"1,111111111",,,,,,,,,,,,,,,,
04/12/2016,Olympiakos,Levadeiakos,4,0,H,TRUE,"1,13","8,00","19,00","1,43","2,64",19,11,"2,111111111","1,222222222",,,,,,,,,,,,,,,,
04/12/2016,Panathinaikos,PAOK,1,0,H,FALSE,"2,00","3,20","4,00","2,4","1,51",15,10,"1,666666667","1,111111111",,,,,,,,,,,,,,,,
04/12/2016,Xanthi,Asteras Tripolis,3,1,H,TRUE,"2,40","3,00","3,20","2,39","1,52",8,8,"0,8888888889","0,8888888889",,,,,,,,,,,,,,,,
05/12/2016,Iraklis,Giannina,2,1,H,TRUE,"2,90","3,00","2,60","2,6","1,42",6,13,"0,6666666667","1,444444444",,,,,,,,,,,,,,,,
10/12/2016,AEK,Levadeiakos,4,0,H,TRUE,"1,29","4,50","15,00","1,91","1,82",14,11,"1,4","1,1",,,,,,,,,,,,,,,,
10/12/2016,Asteras Tripolis,Veria,0,0,D,FALSE,"1,29","5,00","12,00","2,00","1,75",9,5,"0,9","0,5",,,,,,,,,,,,,,,,
10/12/2016,Xanthi,AEL,1,0,H,FALSE,"1,57","3,80","6,00","2,04","1,75",11,10,"1,1",1,,,,,,,,,,,,,,,,
11/12/2016,Atromitos,Panathinaikos,0,1,A,FALSE,"4,00","3,20","2,00","2,22","1,6",12,16,"1,2","1,6",,,,,,,,,,,,,,,,
11/12/2016,Panetolikos,Iraklis,2,0,H,FALSE,"1,50","3,75","7,50","2,29","1,57",14,8,"1,4","0,8",,,,,,,,,,,,,,,,
11/12/2016,Panionios,Kerkyra,1,0,H,FALSE,"1,62","3,40","6,50","2,29","1,57",11,8,"1,1","0,8",,,,,,,,,,,,,,,,
11/12/2016,PAOK,Platanias,3,0,H,TRUE,"1,33","4,75","10,00","2,01","1,75",10,6,1,"0,6",,,,,,,,,,,,,,,,
12/12/2016,Giannina,Olympiakos,0,2,A,FALSE,"7,00","4,00","1,50","1,97","1,77",14,23,"1,4","2,3",,,,,,,,,,,,,,,,
17/12/2016,Kerkyra,PAOK,0,5,A,TRUE,"7,00","3,75","1,44","2,37","1,53",8,13,"0,7272727273","1,181818182",,,,,,,,,,,,,,,,
17/12/2016,Platanias,Atromitos,3,0,H,TRUE,"2,38","2,88","2,90","2,83","1,39",6,12,"0,5454545455","1,090909091",,,,,,,,,,,,,,,,
17/12/2016,Veria,Xanthi,0,4,A,TRUE,"3,40","2,90","2,10","2,82","1,4",5,12,"0,4545454545","1,090909091",,,,,,,,,,,,,,,,
18/12/2016,Iraklis,Asteras Tripolis,1,1,D,FALSE,"3,30","3,00","2,20","2,76","1,41",8,9,"0,7272727273","0,8181818182",,,,,,,,,,,,,,,,
18/12/2016,AEL,Panathinaikos,0,0,D,FALSE,"5,50","3,20","1,67","2,37","1,53",10,17,"0,9090909091","1,545454545",,,,,,,,,,,,,,,,
18/12/2016,Levadeiakos,Panionios,1,4,A,TRUE,"3,00","2,88","2,38","2,55","1,47",11,12,1,"1,090909091",,,,,,,,,,,,,,,,
18/12/2016,Olympiakos,Panetolikos,3,1,H,TRUE,"1,17","6,50","10,00","1,49","2,48",25,16,"2,272727273","1,454545455",,,,,,,,,,,,,,,,
19/12/2016,AEK,Giannina,1,1,D,FALSE,"1,40","4,00","7,50","2,03","1,73",18,14,"1,636363636","1,272727273",,,,,,,,,,,,,,,,
03/01/2017,Iraklis,Xanthi,0,1,A,FALSE,"3,70","3,10","2,10","2,62","1,45",9,16,"0,75","1,333333333",,,,,,,,,,,,,,,,
03/01/2017,Levadeiakos,PAOK,0,1,A,FALSE,"9,50","4,00","1,40","1,95","1,78",12,18,1,"1,5",,,,,,,,,,,,,,,,
04/01/2017,AEK,Panetolikos,0,0,D,FALSE,"1,33","4,75","7,50","2,05","1,72",19,17,"1,583333333","1,416666667",,,,,,,,,,,,,,,,
04/01/2017,Kerkyra,Atromitos,1,1,D,FALSE,"2,60","3,00","2,65","2,69","1,42",8,12,"0,6666666667",1,,,,,,,,,,,,,,,,
04/01/2017,AEL,Veria,2,1,H,TRUE,"1,73","3,30","4,33","2,5","1,47",10,5,"0,8333333333","0,4166666667",,,,,,,,,,,,,,,,
04/01/2017,Olympiakos,Asteras Tripolis,2,1,H,TRUE,"1,17","7,00","15,00","1,48","2,48",28,10,"2,333333333","0,8333333333",,,,,,,,,,,,,,,,
05/01/2017,Panionios,Giannina,1,1,D,FALSE,"1,95","3,20","3,75","2,58","1,46",16,15,"1,333333333","1,25",,,,,,,,,,,,,,,,
05/01/2017,Platanias,Panathinaikos,1,0,H,FALSE,"5,00","3,30","1,70","2,52","1,47",9,17,"0,75","1,416666667",,,,,,,,,,,,,,,,
07/01/2017,Asteras Tripolis,AEK,3,2,H,TRUE,"3,40","3,25","2,15","2,55","1,47",11,19,"0,8461538462","1,461538462",,,,,,,,,,,,,,,,
07/01/2017,Atromitos,Levadeiakos,2,0,H,FALSE,"1,50","3,90","7,00","2,29","1,56",13,12,1,"0,9230769231",,,,,,,,,,,,,,,,
08/01/2017,Panetolikos,Panionios,0,2,A,FALSE,"2,50","3,10","2,90","2,59","1,45",17,17,"1,307692308","1,307692308",,,,,,,,,,,,,,,,
08/01/2017,PAOK,Giannina,0,1,A,FALSE,"1,25","5,25","13,00","1,84","1,89",19,16,"1,461538462","1,230769231",,,,,,,,,,,,,,,,
08/01/2017,Platanias,AEL,3,2,H,TRUE,"1,67","3,50","5,50","2,62","1,44",10,12,"0,7692307692","0,9230769231",,,,,,,,,,,,,,,,
08/01/2017,Xanthi,Olympiakos,0,2,A,FALSE,"5,75","3,75","1,60","2,07","1,7",17,30,"1,307692308","2,307692308",,,,,,,,,,,,,,,,
09/01/2017,Panathinaikos,Kerkyra,1,0,H,FALSE,"1,14","7,00","19,00","1,63","2,14",17,9,"1,307692308","0,6923076923",,,,,,,,,,,,,,,,
14/01/2017,Platanias,Olympiakos,2,2,D,TRUE,"6,00","3,80","1,57","2,12","1,66",13,32,"0,9285714286","2,285714286",,,,,,,,,,,,,,,,
14/01/2017,Veria,Levadeiakos,2,0,H,FALSE,"2,50","3,00","3,00","2,65","1,43",6,12,"0,4615384615","0,8571428571",,,,,,,,,,,,,,,,
15/01/2017,Asteras Tripolis,Panetolikos,4,1,H,TRUE,"1,75","3,40","5,00","2,41","1,52",14,17,1,"1,214285714",,,,,,,,,,,,,,,,
15/01/2017,Atromitos,Panionios,1,2,A,TRUE,"2,20","3,20","3,40","2,56","1,46",15,19,"1,071428571","1,357142857",,,,,,,,,,,,,,,,
15/01/2017,Panathinaikos,AEK,0,0,D,FALSE,"1,80","3,30","4,75","2,42","1,51",18,21,"1,285714286","1,5",,,,,,,,,,,,,,,,
15/01/2017,Xanthi,Giannina,2,0,H,FALSE,"1,85","3,30","4,50","2,56","1,46",17,17,"1,214285714","1,214285714",,,,,,,,,,,,,,,,
18/01/2017,Asteras Tripolis,Olympiakos,0,0,D,FALSE,"4,75","3,60","1,75","2,04","1,72",18,34,"1,2","2,266666667",,,,,,,,,,,,,,,,
18/01/2017,Atromitos,Kerkyra,1,4,A,TRUE,"1,50","3,80","6,00","2,48","1,49",16,9,"1,066666667","0,6428571429",,,,,,,,,,,,,,,,
18/01/2017,Giannina,Panionios,1,0,H,FALSE,"2,38","2,88","3,10","2,49","1,49",17,21,"1,133333333","1,4",,,,,,,,,,,,,,,,
18/01/2017,Panetolikos,AEK,3,2,H,TRUE,"3,70","3,10","2,00","2,33","1,55",18,21,"1,2","1,4",,,,,,,,,,,,,,,,
18/01/2017,Veria,AEL,1,1,D,FALSE,"2,50","2,75","3,10","2,59","1,44",8,14,"0,5714285714",1,,,,,,,,,,,,,,,,
18/01/2017,Xanthi,Iraklis,3,1,H,TRUE,"1,40","4,00","7,50","2,41","1,51",19,9,"1,266666667","0,6923076923",,,,,,,,,,,,,,,,
19/01/2017,Panathinaikos,Platanias,2,1,H,TRUE,"1,36","4,50","9,00","1,93","1,82",18,15,"1,2",1,,,,,,,,,,,,,,,,
19/01/2017,PAOK,Levadeiakos,3,0,H,TRUE,"1,13","7,00","17,00","1,56","2,3",19,12,"1,357142857","0,8",,,,,,,,,,,,,,,,
21/01/2017,Iraklis,Veria,1,1,D,FALSE,"2,25","3,10","3,40","2,77","1,4",10,9,"0,7142857143","0,6",,,,,,,,,,,,,,,,
21/01/2017,Olympiakos,Xanthi,2,0,H,FALSE,"1,20","6,00","15,00","1,64","2,15",34,22,"2,125","1,375",,,,,,,,,,,,,,,,
21/01/2017,Panionios,Panetolikos,2,0,H,FALSE,"1,62","3,60","6,00","2,51","1,48",21,21,"1,3125","1,3125",,,,,,,,,,,,,,,,
22/01/2017,AEK,Asteras Tripolis,2,0,H,FALSE,"1,62","3,80","5,50","2,24","1,6",23,18,"1,4375","1,125",,,,,,,,,,,,,,,,
22/01/2017,Kerkyra,Panathinaikos,1,1,D,FALSE,"6,00","3,80","1,57","2,18","1,63",13,20,"0,8666666667","1,25",,,,,,,,,,,,,,,,
22/01/2017,AEL,Platanias,0,0,D,FALSE,"2,90","2,90","2,65","2,46","1,48",15,16,1,1,,,,,,,,,,,,,,,,
22/01/2017,Levadeiakos,Atromitos,1,1,D,FALSE,"3,00","3,00","2,50","2,71","1,41",12,17,"0,75","1,0625",,,,,,,,,,,,,,,,
23/01/2017,Giannina,PAOK,0,1,A,FALSE,"5,00","3,50","1,73","2,21","1,6",18,22,"1,125","1,466666667",,,,,,,,,,,,,,,,
25/01/2017,Veria,Iraklis,0,2,A,FALSE,"2,45","3,00","3,10","2,89","1,37",10,11,"0,625","0,7333333333",,,,,,,,,,,,,,,,
28/01/2017,Asteras Tripolis,Panionios,1,1,D,FALSE,"2,25","3,20","3,30","2,66","1,44",18,23,"1,058823529","1,352941176",,,,,,,,,,,,,,,,
28/01/2017,Iraklis,AEL,1,1,D,FALSE,"2,45","3,00","3,10","2,85","1,39",13,15,"0,8125","0,9375",,,,,,,,,,,,,,,,
28/01/2017,Xanthi,AEK,0,0,D,FALSE,"3,25","2,88","2,30","2,72","1,42",22,25,"1,294117647","1,470588235",,,,,,,,,,,,,,,,
29/01/2017,Atromitos,Giannina,1,1,D,FALSE,"2,05","3,00","3,60","2,66","1,43",18,18,"1,058823529","1,058823529",,,,,,,,,,,,,,,,
29/01/2017,Panathinaikos,Levadeiakos,0,0,D,FALSE,"1,18","6,00","12,00","1,63","2,19",21,13,"1,235294118","0,7647058824",,,,,,,,,,,,,,,,
29/01/2017,Panetolikos,PAOK,0,1,A,FALSE,"6,00","3,40","1,57","2,27","1,58",21,23,"1,235294118","1,4375",,,,,,,,,,,,,,,,
29/01/2017,Platanias,Kerkyra,2,1,H,TRUE,"1,75","3,30","4,50","2,54","1,47",16,14,"0,9411764706","0,875",,,,,,,,,,,,,,,,
29/01/2017,Veria,Olympiakos,1,2,A,TRUE,"15,00","6,50","1,18","1,7","2,06",10,36,"0,5882352941","2,117647059",,,,,,,,,,,,,,,,
01/02/2017,Iraklis,Kerkyra,0,0,D,FALSE,"2,40","2,80","3,10","2,86","1,38",14,15,"0,8235294118","0,8823529412",,,,,,,,,,,,,,,,
01/02/2017,AEL,PAOK,0,2,A,FALSE,"6,50","3,50","1,53","2,3","1,56",16,24,"0,9411764706","1,411764706",,,,,,,,,,,,,,,,
04/02/2017,Giannina,Panathinaikos,1,1,D,FALSE,"3,80","3,10","2,05","2,72","1,42",19,21,"1,055555556","1,166666667",,,,,,,,,,,,,,,,
04/02/2017,AEL,Kerkyra,1,1,D,FALSE,"2,00","3,10","4,10","2,68","1,43",16,15,"0,8888888889","0,8333333333",,,,,,,,,,,,,,,,
04/02/2017,Panetolikos,Atromitos,2,0,H,FALSE,"2,55","2,80","3,10","2,63","1,44",21,19,"1,166666667","1,055555556",,,,,,,,,,,,,,,,
05/02/2017,AEK,Veria,6,0,H,TRUE,"1,17","6,50","19,00","1,67","2,11",25,11,"1,388888889","0,6111111111",,,,,,,,,,,,,,,,
05/02/2017,Olympiakos,Iraklis,3,0,H,TRUE,"1,08","10,00","23,00","1,41","2,75",38,14,"2,111111111","0,7777777778",,,,,,,,,,,,,,,,
05/02/2017,Panionios,Xanthi,2,0,H,FALSE,"2,00","2,90","4,33","2,7","1,42",24,22,"1,333333333","1,222222222",,,,,,,,,,,,,,,,
05/02/2017,PAOK,Asteras Tripolis,3,2,H,TRUE,"1,33","4,50","11,00","2,17","1,63",26,19,"1,444444444","1,055555556",,,,,,,,,,,,,,,,
06/02/2017,Levadeiakos,Platanias,1,2,A,TRUE,"2,38","2,90","3,30","2,72","1,41",13,18,"0,7222222222",1,,,,,,,,,,,,,,,,
11/02/2017,Asteras Tripolis,Atromitos,0,1,A,FALSE,"2,10","2,88","4,10","2,58","1,46",21,19,"1,105263158",1,,,,,,,,,,,,,,,,
11/02/2017,Olympiakos,AEL,2,0,H,FALSE,"1,13","8,50","17,00","1,46","2,55",41,17,"2,157894737","0,8947368421",,,,,,,,,,,,,,,,
11/02/2017,Veria,Panionios,0,1,A,FALSE,"4,33","3,20","1,91","2,6","1,46",11,26,"0,5789473684","1,368421053",,,,,,,,,,,,,,,,
